tickers,avg_sentiment,tweet_count
0.45M,0.4278,1
0.7,0.935,3
1.1bn,0.5719,2
1.5,0.25,1
1.5bn,-0.128,1
1.5mn,0.25,1
1.65,0.2732,1
1.7,0.9336,2
10.3,-0.4767,1
12.8,0.8714,2
13.6,-0.4767,1
14.1,0.9432,1
15.56,-0.3612,1
2.1,0.2514,2
2.25,0.5994,1
2.3,0.8597,2
2.35,0.4404,1
2.6,0.3913,3
2.61bn,0.8567,1
2.6bn,0.743,1
2.74,0.1027,1
2.74bn,0.8567,1
2.7bn,-0.09567499999999998,8
2.80,0.1027,1
2.89bn,0.7444000000000001,3
2.8bn,0.8455,1
2.9,0.0,1
25.5,-0.4019,1
3.45M,0.4278,1
3234.6,0.27194999999999997,2
4.05bn,0.6124,1
4.4,-0.4019,1
4.5bn,0.8126,1
4.6,-0.4019,1
4.74,0.9366,1
4.81,0.9366,1
45.15,0.0,1
5.39,-0.4019,1
5.8,-0.4019,1
564.07,0.0,1
586.41,0.2732,1
6.3,0.5399,1
6.5,0.4215,1
62.00,0.0,1
64.68,0.5983,1
7.1,-0.4019,1
7.8,-0.3182,1
73.4,0.6124,1
74.39,0.0,1
74.4bn,0.8567,1
79.7,-0.7506,1
8.1,0.9423,1
8.5,0.0,1
8.7,-0.296,1
80.87,0.29915,2
81.40,-0.7506,1
81.97,0.0,1
83.57,0.0,1
9.8,-0.4019,1
90.69,0.0,1
91.63,0.0,1
91.84,0.6705,1
92.24,-0.296,1
92.70,0.296,1
926.1,0.8834,1
93.87,-0.6705,1
94.64,-0.3182,1
95.75,-0.6124,1
96.96,0.0,1
ABCAPITAL.NSE,0.54785,2
ABFRL.NSE,0.26733333333333337,3
ACC.NSE,0.3182,1
ACE.NSE,0.6486,1
ACI.NSE,0.0,1
ADANIENT.NSE,0.18638518518518518,27
ADANIGREEN.NSE,0.16537,20
ADANIPORTS.NSE,-0.04643846153846153,13
ADANIPOWER.NSE,0.11808095238095237,21
ADANITRANS.NSE,0.40700000000000003,5
AFFLE.NSE,-0.4574,1
AGI.NSE,0.1796,1
AJANTPHARM.NSE,0.875,1
AMBUJACEM.NSE,0.30493333333333333,3
ANGELONE.NSE,0.45613333333333334,3
APLAPOLLO.NSE,0.2003,1
APOLLOHOSP.NSE,-0.125,2
APOLLOTYRE.NSE,0.48023333333333335,3
ARVIND.NSE,0.802,1
ASAHIINDIA.NSE,-0.4404,1
ASALCBR.NSE,0.1468,3
ASHOKLEY.NSE,0.342675,4
ASIANPAINT.NSE,0.21813333333333337,3
ATFL.NSE,0.0,1
ATGL.NSE,0.0,1
AUBANK.NSE,-0.4574,1
AUROPHARMA.NSE,0.25880000000000003,2
AXISBANK.NSE,0.512747619047619,42
AYMSYNTEX.NSE,0.0,1
BAJAJ.AUTO,0.38245,2
BAJAJCON.NSE,0.10015,2
BAJAJFINSV.NSE,0.22455,2
BAJAJHLDNG.NSE,0.8074,1
BAJFINANCE.NSE,0.24514999999999998,6
BALAMINES.NSE,0.8316,1
BALKRISIND.NSE,0.0,1
BALRAMCHIN.NSE,0.4464,2
BANDHANBNK.NSE,0.9856,1
BANKBARODA.NSE,0.3548428571428571,7
BANKBEES.NSE,0.9118,1
BARBEQUE.NSE,0.128,1
BATAINDIA.NSE,0.7841,1
BDL.NSE,0.41625,4
BECTORFOOD.NSE,0.9412,1
BERGEPAINT.NSE,0.8398,1
BHARTIARTL.NSE,0.49805,40
BHEL.NSE,0.2023,1
BIKAJI.NSE,0.836,1
BLS.NSE,0.6652,1
BLUESTARCO.NSE,0.2695,1
BNB.X,0.0,1
BOMDYEING.NSE,0.4215,1
BOSCHLTD.NSE,0.2695,1
BPCL.NSE,0.13516666666666668,3
BRITANNIA.NSE,0.10015,2
BSE.NSE,0.6715,3
BTC.X,0.455825,4
CANBK.NSE,0.35035,4
CANFINHOME.NSE,-0.12855,2
CDSL.NSE,0.3548,2
CEATLTD.NSE,0.8402,1
CENTRALBK.NSE,-0.9715,1
CENTURYTEX.NSE,0.0,1
CEREBRAINT.NSE,0.3182,1
CHALET.NSE,0.2732,1
CHEMPLASTS.NSE,0.0,1
CHENNPETRO.NSE,-0.24766666666666667,3
CHOLAFIN.NSE,0.9451,1
CHOLAHLDNG.NSE,0.0,1
COALINDIA.NSE,0.765,1
COFORGE.NSE,-0.042300000000000004,3
COLPAL.NSE,0.4404,1
CROMPTON.NSE,0.0,1
CUB.NSE,0.7703,1
CUMMIES.X,0.7971,1
CUMMINSIND.NSE,-0.08569999999999998,3
CUPID.NSE,0.27115,2
CYIENT.NSE,0.3382,1
DABUR.NSE,-0.24835,2
DALBHARAT.NSE,0.5574,1
DBOL.NSE,0.0,1
DEEPAKFERT.NSE,0.0,1
DEEPAKNTR.NSE,0.5719,1
DENORA.NSE,0.1796,1
DEVYANI.NSE,-0.03756666666666666,3
DHANUKA.NSE,0.0,1
DIVISLAB.NSE,0.16873333333333332,3
DLF.NSE,0.8671,2
DODLA.NSE,0.468,2
DOGE.X,0.7971,1
DPSCLTD.NSE,0.3612,1
DRREDDY.NSE,-0.4574,1
EICHERMOT.NSE,-0.4574,1
EIDPARRY.NSE,0.2924,2
ELGIEQUIP.NSE,0.48895,2
EMBASSY.NSE,0.5574,1
EMIL.NSE,0.0,1
ENGINERSIN.NSE,0.0,2
ESCORTS.NSE,0.296,1
FACT.NSE,0.20095,2
FEDERALBNK.NSE,0.03575000000000002,4
FINEORG.NSE,0.0,1
FINOPB.NSE,0.0,1
FORTIS.NSE,0.0,1
FTT.X,0.0,1
GABRIEL.NSE,0.2003,1
GAIL.NSE,-0.5719,1
GANESHBE.NSE,0.1796,1
GMRINFRA.NSE,0.015600000000000003,2
GNA.NSE,0.6150666666666668,3
GODFRYPHLP.NSE,0.20020000000000004,2
GODREJCP.NSE,0.77515,2
