company,tweet,sentiment,cleaned_tweet,hashtags,tickers,word_count,hashtag_count,sentiment_score
$ICICIBANK.NSE,$ICICIBANK.NSE Trade in action & Very close to to the targets Bullish,Bullish,$ICICIBANK.NSE Trade in action & Very close to to the targets Bullish,[],['ICICIBANK.NSE'],12,0,0.0
$ICICIBANK.NSE,$ICICIBANK.NSE Stock is trading with bullish momentum as it is continuously rising and trading above Ema levels. Macd is also bullish and Rsi is in overbought zone. Bullish,Bullish,$ICICIBANK.NSE Stock is trading with bullish momentum as it is continuously rising and trading above Ema levels. Macd is also bullish and Rsi is in overbought zone. Bullish,[],['ICICIBANK.NSE'],28,0,0.0
$ICICIBANK.NSE,"$ICICIBANK.NSE  
Based on the chart analysis, it appears that there is a bullish crossover imminent on the Moving Average Convergence Divergence (MACD) indicator, which could signal a good buying opportunity for the stock. Additionally, the stock has recently crossed both its 200-day moving average (DMA) and 100 DMA, which is another positive signal for investors., it is possible that the stock could continue to rise in the future, with a potential target price of around 950. Bullish",Bullish,"$ICICIBANK.NSE Based on the chart analysis, it appears that there is a bullish crossover imminent on the Moving Average Convergence Divergence (MACD) indicator, which could signal a good buying opportunity for the stock. Additionally, the stock has recently crossed both its 200-day moving average (DMA) and 100 DMA, which is another positive signal for investors., it is possible that the stock could continue to rise in the future, with a potential target price of around 950. Bullish",[],['ICICIBANK.NSE'],77,0,0.8519
$ICICIBANK.NSE,"$ICICIBANK.NSE crossed the resistance line with low volume, but sustaining.  
medium strong bullish signals. Bullish",Bullish,"$ICICIBANK.NSE crossed the resistance line with low volume, but sustaining. medium strong bullish signals. Bullish",[],['ICICIBANK.NSE'],15,0,0.5994
$ICICIBANK.NSE,"$ICICIBANK.NSE  
The stock is moving with the upward trend, but today formed a doji pattern. Bullish",Bullish,"$ICICIBANK.NSE The stock is moving with the upward trend, but today formed a doji pattern. Bullish",[],['ICICIBANK.NSE'],16,0,0.0
$ICICIBANK.NSE,$ICICIBANK.NSE Look for the next possibility in this counter. Bullish,Bullish,$ICICIBANK.NSE Look for the next possibility in this counter. Bullish,[],['ICICIBANK.NSE'],10,0,0.0
$ICICIBANK.NSE,$ICICIBANK.NSE were in the top gainers today with the High day range of 942.45 and the  Low day range of 923.45. At 2:30 ICICI bank is trading at 931.50  with 9.35 or 1.01% high from its prior close at 921.70. Bullish,Bullish,$ICICIBANK.NSE were in the top gainers today with the High day range of 942.45 and the Low day range of 923.45. At 2:30 ICICI bank is trading at 931.50 with 9.35 or 1.01% high from its prior close at 921.70. Bullish,[],['ICICIBANK.NSE'],41,0,-0.0772
$ICICIBANK.NSE,"$ICICIBANK.NSE  
Icici bank is slowly moving towards its target level of 950. 
FPI shareholding in ICICI Bank remained unchanged at 44 per cent in FY23. 
If it sustain above 950 then more upside movement is possible. Bullish",Bullish,$ICICIBANK.NSE Icici bank is slowly moving towards its target level of 950. FPI shareholding in ICICI Bank remained unchanged at 44 per cent in FY23. If it sustain above 950 then more upside movement is possible. Bullish,[],['ICICIBANK.NSE'],37,0,0.0
$ICICIBANK.NSE,$ICICIBANK.NSE Stock is trading above Ema levels indicating bullish trend. Macd is also bullish and Rsi is in overbought zone. Bullish,Bullish,$ICICIBANK.NSE Stock is trading above Ema levels indicating bullish trend. Macd is also bullish and Rsi is in overbought zone. Bullish,[],['ICICIBANK.NSE'],21,0,0.0
$ICICIBANK.NSE,"$ICICIBANK.NSE MACD bearish crossover, RSI just over the overbought zone. 
short term bearish signals. Bearish",Bearish,"$ICICIBANK.NSE MACD bearish crossover, RSI just over the overbought zone. short term bearish signals. Bearish",[],['ICICIBANK.NSE'],15,0,0.0
